Page,Section,,English,slovenčina ,Remark
,NO RESULTS,Description,We can't find any item matching your search,Nenašli sme žiadnu položku zodpovedajúcu vášmu vyhľadávaniu.,
,PAGINATION,Loading state,Loading...,Načítava sa...,
,,,,,
,,,,,
,,,,,
Workshops,METADATA,Page title (metadata),Frafol - Workshops,Frafol – Kurzy,
Workshops,BANNER,,Browse All Workshops,Prezrite si všetky kurzy,
Workshops,BANNER,Description,Discover hands-on learning experiences led by industry professionals.,Objavte praktické kurzy vedené fotografmi a kameramanmi z praxe.,
Workshops,SEARCH,Search placeholder,Search,Hľadať,
Workshops,BUTTON,Button text,See All Workshops,Zobraziť všetky workshopy,
Workshops,NO RESULTS,Heading,No result found,Nenašiel sa žiadny výsledok,
Workshops,NO RESULTS,Description,We can't find any item matching your search,Nenašli sme žiadnu položku zodpovedajúcu vášmu vyhľadávaniu.,
Workshops,PAGINATION,Loading state,Loading...,Načítava sa...,
,,,,,
,,,,,
,,,,,
Forums,PAGE HEADER,Page title,Forums,Diskusie,
Forums,SECTION HEADER,Section header,Forum,Diskusia,
Forums,NO RESULTS,Heading,No result found,Nenašli sa žiadne výsledky,
Forums,NO RESULTS,Description,We can't find any item matching your search,Nenašli sme žiadnu položku zodpovedajúcu vášmu vyhľadávaniu.,
Forums,PAGINATION,Loading state,Loading...,Načítava sa...,
Forums,NEW POST,Button text,New Post,Nový príspevok,
Forums,POST FORM,Label,Title,Názov,
Forums,POST FORM,Label,Description,Popis ,
Forums,POST FORM,Button text,Submit,Odoslať,
,,,,,
,,,,,
,,,,,
Forums Details,PAGE HEADER,Page title,Forum Details,Detail diskusie,
Forums Details,BACK,Button text,Back To Forums,Späť na diskusie,
Forums Details,COMMENTS,Section header,Comments,Komentáre,
Forums Details,COMMENTS,Section header,Leave a Reply,Pridať odpoveď ,
Forums Details,COMMENT FORM,Placeholder,Write a comment...,Napíšte komentár...,
Forums Details,COMMENT FORM,Button text,Post Comment,Odoslať komentár ,
Forums Details,NO COMMENTS,Empty state text,No comments yet. Be the first to comment!,Zatiaľ žiadne komentáre. Pridajte prvý komentár!,
,,,,,
,,,,,
,,,,,
Helpful Documents,PAGE HEADER,Page title,Helpful Documents,Užitočné dokumenty,
Helpful Documents,SECTION HEADER,Section header,Helpful Documents,Užitočné dokumenty,
Helpful Documents,NO RESULTS,Heading,No result found,Nenašli sa žiadne výsledky,
Helpful Documents,NO RESULTS,Description,We can't find any item matching your search,Nenašli sme žiadnu položku zodpovedajúcu vášmu vyhľadávaniu.,
Helpful Documents,PAGINATION,Loading state,Loading...,Načítava sa...,
,,,,,
,,,,,
,,,,,
Success,PAGE HEADER,Page title (metadata),Frafol - Professionals,Frafol – Tvorcovia,
Success,PAYMENT SUCCESS,Heading,Payment Successful!,Platba bola úspešná!,
Success,ACTION BUTTON,Button text,Continue,Pokračovať,
Success,HELP SECTION,Text,Need help? Contact,Potrebujete pomoc? Kontaktujte,
Success,HELP SECTION,Email link,cvak@frafol.sk,cvak@frafol.sk,
,,,,,
,,,,,
,,,,,
Terms of Services,PAGE HEADER,Page title,Terms of Service Conceptural,Všeobecné obchodné podmienky Zmluvné vzťahy,
Terms of Services,CONTENT,Skipped - dynamic content,Dynamic HTML content from /settings/termsService API,Dynamický HTML obsah z API /settings/termsService,
Terms of Services,,,,,
Terms of Services,PAGE HEADER,Page title,Terms of Service Marketplace,Všeobecné obchodné podmienky pre Online trh,
Terms of Services,CONTENT,Skipped - dynamic content,Dynamic HTML content from /settings/privacyPolicy API,Dynamický HTML obsah z API /settings/privacyPolicy,
,,,,,
,,,,,
,,,,,
Notification,PAGE HEADER,Title,Notification,Notifikácia,
